AutoCtr,Order,OtherOrders,CommonAncestor
1449,Lamniformes,Perciformes/Serranoidei,457
1450,Lamniformes,Perciformes/Scorpaenoidei,457
1451,Lamniformes,Perciformes/Gasterosteoidei,457
1452,Lamniformes,Perciformes/Cottoidei,457
1453,Lamniformes,Acropomatiformes,457
1454,Lamniformes,Centrarchiformes,457
1455,Lamniformes,Eupercaria/misc,457
1456,Lamniformes,Acanthuriformes,457
1457,Lamniformes,Lophiiformes,457
1458,Lamniformes,Tetraodontiformes,457
1459,Lamniformes,Coelacanthiformes,457
1460,Lamniformes,Ceratodontiformes,457
1461,Carcharhiniformes,Myxiniformes,500
1462,Carcharhiniformes,Petromyzontiformes,500
1463,Carcharhiniformes,Heterodontiformes,155
1464,Carcharhiniformes,Orectolobiformes,170
1465,Carcharhiniformes,Lamniformes,135
1466,Carcharhiniformes,Hexanchiformes,196
1467,Carcharhiniformes,Squaliformes,196
1468,Carcharhiniformes,Echinorhiniformes,196
1469,Carcharhiniformes,Pristiophoriformes,196
1470,Carcharhiniformes,Squatiniformes,196
1471,Carcharhiniformes,Rajiformes,281
1472,Carcharhiniformes,Torpediniformes,281
1473,Carcharhiniformes,Rhinopristiformes,281
1474,Carcharhiniformes,Myliobatiformes,281
1475,Carcharhiniformes,Chimaeriformes,420
1476,Carcharhiniformes,Polypteriformes,457
1477,Carcharhiniformes,Acipenseriformes,457
1478,Carcharhiniformes,Amiiformes,457
1479,Carcharhiniformes,Lepisosteiformes,457
1480,Carcharhiniformes,Elopiformes,457
1481,Carcharhiniformes,Albuliformes,457
1482,Carcharhiniformes,Notacanthiformes,457
1483,Carcharhiniformes,Anguilliformes,457
1484,Carcharhiniformes,Saccopharyngiformes,457
1485,Carcharhiniformes,Hiodontiformes,457
1486,Carcharhiniformes,Osteoglossiformes,457
1487,Carcharhiniformes,Clupeiformes,457
1488,Carcharhiniformes,Alepocephaliformes,457
1489,Carcharhiniformes,Gonorynchiformes,457
1490,Carcharhiniformes,Cypriniformes,457
1491,Carcharhiniformes,Characiformes,457
1492,Carcharhiniformes,Gymnotiformes,457
1493,Carcharhiniformes,Siluriformes,457
1494,Carcharhiniformes,Lepidogalaxiiformes,457
1495,Carcharhiniformes,Esociformes,457
1496,Carcharhiniformes,Salmoniformes,457
1497,Carcharhiniformes,Argentiniformes,457
1498,Carcharhiniformes,Galaxiiformes,457
1499,Carcharhiniformes,Stomiiformes,457
1500,Carcharhiniformes,Osmeriformes,457
1501,Carcharhiniformes,Ateleopodiformes,457
1502,Carcharhiniformes,Aulopiformes,457
1503,Carcharhiniformes,Myctophiformes,457
1504,Carcharhiniformes,Polymixiiformes,457
1505,Carcharhiniformes,Percopsiformes,457
1506,Carcharhiniformes,Zeiformes,457
1507,Carcharhiniformes,Stylephoriformes,457
1508,Carcharhiniformes,Gadiformes,457
1509,Carcharhiniformes,Lampriformes,457
1510,Carcharhiniformes,Trachichthyiformes,457
1511,Carcharhiniformes,Beryciformes,457
1512,Carcharhiniformes,Holocentriformes,457
1513,Carcharhiniformes,Ophidiiformes,457
1514,Carcharhiniformes,Batrachoidiformes,457
1515,Carcharhiniformes,Kurtiformes,457
1516,Carcharhiniformes,Gobiiformes,457
1517,Carcharhiniformes,Scombriformes,457
1518,Carcharhiniformes,Syngnathiformes,457
1519,Carcharhiniformes,Dactylopteriformes,457
1520,Carcharhiniformes,Callionymiformes,457
1521,Carcharhiniformes,Mulliformes,457
1522,Carcharhiniformes,Synbranchiformes,457
1523,Carcharhiniformes,Anabantiformes,457
1524,Carcharhiniformes,Carangaria/misc,457
1525,Carcharhiniformes,Carangiformes,457
1526,Carcharhiniformes,Pleuronectiformes,457
1527,Carcharhiniformes,Mugiliformes,457
1528,Carcharhiniformes,Ovalentaria/misc,457
1529,Carcharhiniformes,Gobiesociformes,457
1530,Carcharhiniformes,Blenniiformes,457
1531,Carcharhiniformes,Cichliformes,457
1532,Carcharhiniformes,Beloniformes,457
1533,Carcharhiniformes,Atheriniformes,457
1534,Carcharhiniformes,Cyprinodontiformes,457
1535,Carcharhiniformes,Perciformes/Percoidei,457
1536,Carcharhiniformes,Perciformes/Zoarcoidei,457
1537,Carcharhiniformes,Perciformes/Bembropoidei,457
1538,Carcharhiniformes,Perciformes/Percophoidei,457
